-86.74468,34.678893,Radisson Inn Huntsville Airport,,,,"{name:""",Radisson Inn Huntsville Airport,""", lat:",34.678893,",",lon:,-86.74468,"},","{name:""Radisson Inn Huntsville Airport"", lat:34.678893,lon:-86.74468},"
-111.970188,33.304362,Radisson Hotel Phoenix-Chandler,,,,"{name:""",Radisson Hotel Phoenix-Chandler,""", lat:",33.304362,",",lon:,-111.970188,"},","{name:""Radisson Hotel Phoenix-Chandler"", lat:33.304362,lon:-111.970188},"
-111.666936,35.188235,Radisson Woodlands Hotel Flagstaff,,,,"{name:""",Radisson Woodlands Hotel Flagstaff,""", lat:",35.188235,",",lon:,-111.666936,"},","{name:""Radisson Woodlands Hotel Flagstaff"", lat:35.188235,lon:-111.666936},"
-111.98647,33.453073,Radisson Hotel Phoenix Airport North,,,,"{name:""",Radisson Hotel Phoenix Airport North,""", lat:",33.453073,",",lon:,-111.98647,"},","{name:""Radisson Hotel Phoenix Airport North"", lat:33.453073,lon:-111.98647},"
-112.076838,33.488549,Radisson Hotel Phoenix City Center,,,,"{name:""",Radisson Hotel Phoenix City Center,""", lat:",33.488549,",",lon:,-112.076838,"},","{name:""Radisson Hotel Phoenix City Center"", lat:33.488549,lon:-112.076838},"
-111.680885,33.581839,Radisson Fort McDowell Resort,,,,"{name:""",Radisson Fort McDowell Resort,""", lat:",33.581839,",",lon:,-111.680885,"},","{name:""Radisson Fort McDowell Resort"", lat:33.581839,lon:-111.680885},"
-110.934166,32.123631,Radisson Suites Hotel Tucson Airport,,,,"{name:""",Radisson Suites Hotel Tucson Airport,""", lat:",32.123631,",",lon:,-110.934166,"},","{name:""Radisson Suites Hotel Tucson Airport"", lat:32.123631,lon:-110.934166},"
-110.853454,32.236053,Radisson Suites Tucson,,,,"{name:""",Radisson Suites Tucson,""", lat:",32.236053,",",lon:,-110.853454,"},","{name:""Radisson Suites Tucson"", lat:32.236053,lon:-110.853454},"
-114.611391,32.700435,Radisson Hotel Yuma,,,,"{name:""",Radisson Hotel Yuma,""", lat:",32.700435,",",lon:,-114.611391,"},","{name:""Radisson Hotel Yuma"", lat:32.700435,lon:-114.611391},"
-122.388226,37.67324,Radisson Hotel San Francisco Airport,,,,"{name:""",Radisson Hotel San Francisco Airport,""", lat:",37.67324,",",lon:,-122.388226,"},","{name:""Radisson Hotel San Francisco Airport"", lat:37.67324,lon:-122.388226},"
-117.99755,33.849922,Radisson Suites Hotel Buena Park,,,,"{name:""",Radisson Suites Hotel Buena Park,""", lat:",33.849922,",",lon:,-117.99755,"},","{name:""Radisson Suites Hotel Buena Park"", lat:33.849922,lon:-117.99755},"
-118.606535,34.248314,Radisson Hotel Chatsworth,,,,"{name:""",Radisson Hotel Chatsworth,""", lat:",34.248314,",",lon:,-118.606535,"},","{name:""Radisson Hotel Chatsworth"", lat:34.248314,lon:-118.606535},"
-117.864237,34.071354,Radisson Suites Hotel Covina,,,,"{name:""",Radisson Suites Hotel Covina,""", lat:",34.071354,",",lon:,-117.864237,"},","{name:""Radisson Suites Hotel Covina"", lat:34.071354,lon:-117.864237},"
-119.783654,36.732193,Radisson Hotel & Conference Center Fresno,,,,"{name:""",Radisson Hotel & Conference Center Fresno,""", lat:",36.732193,",",lon:,-119.783654,"},","{name:""Radisson Hotel & Conference Center Fresno"", lat:36.732193,lon:-119.783654},"
-118.395061,33.945826,Radisson Hotel at Los Angeles Airport,,,,"{name:""",Radisson Hotel at Los Angeles Airport,""", lat:",33.945826,",",lon:,-118.395061,"},","{name:""Radisson Hotel at Los Angeles Airport"", lat:33.945826,lon:-118.395061},"
-118.28132,34.019311,Radisson Hotel Los Angeles Midtown at USC,,,,"{name:""",Radisson Hotel Los Angeles Midtown at USC,""", lat:",34.019311,",",lon:,-118.28132,"},","{name:""Radisson Hotel Los Angeles Midtown at USC"", lat:34.019311,lon:-118.28132},"
-117.86579,33.66807,Radisson Hotel Newport Beach,,,,"{name:""",Radisson Hotel Newport Beach,""", lat:",33.66807,",",lon:,-117.86579,"},","{name:""Radisson Hotel Newport Beach"", lat:33.66807,lon:-117.86579},"
-117.605269,34.063836,Radisson Hotel Ontario Airport,,,,"{name:""",Radisson Hotel Ontario Airport,""", lat:",34.063836,",",lon:,-117.605269,"},","{name:""Radisson Hotel Ontario Airport"", lat:34.063836,lon:-117.605269},"
-121.454041,38.59928,Radisson Hotel Sacramento,,,,"{name:""",Radisson Hotel Sacramento,""", lat:",38.59928,",",lon:,-121.454041,"},","{name:""Radisson Hotel Sacramento"", lat:38.59928,lon:-121.454041},"
