-123.091766,44.053063,Hilton Eugene & Conference Center,"66 East 6th Avenue
Eugene, OR 97401-2667
1-541-342-2000",,,"{name:""",Hilton Eugene & Conference Center,""", lat:",44.053063,",",lon:,-123.091766,"},","{name:""Hilton Eugene & Conference Center"", lat:44.053063,lon:-123.091766},"
-122.679684,45.517544,Hilton Portland & Executive Tower,"921 SW Sixth Avenue
Portland, OR 97204
1-503-226-1611",,,"{name:""",Hilton Portland & Executive Tower,""", lat:",45.517544,",",lon:,-122.679684,"},","{name:""Hilton Portland & Executive Tower"", lat:45.517544,lon:-122.679684},"
-122.655596,45.531363,Doubletree Hotel Portland-Lloyd Center,"1000 NE Multnomah
Portland, OR 97232
1-503-281-6111",,,"{name:""",Doubletree Hotel Portland-Lloyd Center,""", lat:",45.531363,",",lon:,-122.655596,"},","{name:""Doubletree Hotel Portland-Lloyd Center"", lat:45.531363,lon:-122.655596},"
-122.573107,45.580005,Embassy Suites Portland - Airport,"7900 Northeast 82nd Avenue
Portland, OR 97220
1-503-460-3000",,,"{name:""",Embassy Suites Portland - Airport,""", lat:",45.580005,",",lon:,-122.573107,"},","{name:""Embassy Suites Portland - Airport"", lat:45.580005,lon:-122.573107},"
-122.673952,45.521819,Embassy Suites Portland - Downtown,"319 SW Pine Street
Portland, OR 97204-2726
1-503-279-9000",,,"{name:""",Embassy Suites Portland - Downtown,""", lat:",45.521819,",",lon:,-122.673952,"},","{name:""Embassy Suites Portland - Downtown"", lat:45.521819,lon:-122.673952},"
-122.782703,45.4544,Embassy Suites Portland - Washington Square,"9000 S.W. Washington Square Road
Tigard, OR 97223
1-503-644-4000",,,"{name:""",Embassy Suites Portland - Washington Square,""", lat:",45.4544,",",lon:,-122.782703,"},","{name:""Embassy Suites Portland - Washington Square"", lat:45.4544,lon:-122.782703},"
-123.279212,44.557937,Hilton Garden Inn Corvallis,"2500 SW Western Blvd.
Corvallis, OR 97333-4104
1-541-752-5000",,,"{name:""",Hilton Garden Inn Corvallis,""", lat:",44.557937,",",lon:,-123.279212,"},","{name:""Hilton Garden Inn Corvallis"", lat:44.557937,lon:-123.279212},"
-122.739832,45.418528,Hilton Garden Inn Portland/Lake Oswego,"14850 Kruse Oaks Dr.
Lake Oswego, OR 97035
1-503-684-8900",,,"{name:""",Hilton Garden Inn Portland/Lake Oswego,""", lat:",45.418528,",",lon:,-122.739832,"},","{name:""Hilton Garden Inn Portland/Lake Oswego"", lat:45.418528,lon:-122.739832},"
-122.536922,45.56726,Hilton Garden Inn Portland Airport,"12048 N. E. Airport Way
Portland, OR 97220
1-503-255-8600",,,"{name:""",Hilton Garden Inn Portland Airport,""", lat:",45.56726,",",lon:,-122.536922,"},","{name:""Hilton Garden Inn Portland Airport"", lat:45.56726,lon:-122.536922},"
-122.837217,45.527864,Hilton Garden Inn Portland/Beaverton,"15520 NW Gateway Court
Beaverton, OR 97006
1-503-439-1717",,,"{name:""",Hilton Garden Inn Portland/Beaverton,""", lat:",45.527864,",",lon:,-122.837217,"},","{name:""Hilton Garden Inn Portland/Beaverton"", lat:45.527864,lon:-122.837217},"
-122.83728,45.528138,Homewood Suites by Hilton West Portland-Beaverton,"15525 NW Gateway Court
Beaverton, OR 97006
1-503-614-0900",,,"{name:""",Homewood Suites by Hilton West Portland-Beaverton,""", lat:",45.528138,",",lon:,-122.83728,"},","{name:""Homewood Suites by Hilton West Portland-Beaverton"", lat:45.528138,lon:-122.83728},"
-121.304398,44.079163,Hampton Inn Bend,"15 N.E. Butler Market Rd
Bend, OR 97701
1-541-388-4114",,,"{name:""",Hampton Inn Bend,""", lat:",44.079163,",",lon:,-121.304398,"},","{name:""Hampton Inn Bend"", lat:44.079163,lon:-121.304398},"
-122.57014,45.408763,Hampton Inn Portland/Clackamas,"9040 SE Adams
Clackamas, OR 97015
1-503-655-7900",,,"{name:""",Hampton Inn Portland/Clackamas,""", lat:",45.408763,",",lon:,-122.57014,"},","{name:""Hampton Inn Portland/Clackamas"", lat:45.408763,lon:-122.57014},"
-123.150629,44.047863,Hampton Inn Eugene,"3780 W. 11th
Eugene, OR 97402
1-541-431-1225",,,"{name:""",Hampton Inn Eugene,""", lat:",44.047863,",",lon:,-123.150629,"},","{name:""Hampton Inn Eugene"", lat:44.047863,lon:-123.150629},"
-122.872362,42.346663,Hampton Inn Medford,"1122 Morrow Rd
Medford, OR 97504
1-541-779-0660",,,"{name:""",Hampton Inn Medford,""", lat:",42.346663,",",lon:,-122.872362,"},","{name:""Hampton Inn Medford"", lat:42.346663,lon:-122.872362},"
-122.477495,45.544937,Hampton Inn Portland East,"3039 NE 181st Avenue
Portland, OR 97230
1-503-669-7000",,,"{name:""",Hampton Inn Portland East,""", lat:",45.544937,",",lon:,-122.477495,"},","{name:""Hampton Inn Portland East"", lat:45.544937,lon:-122.477495},"
-122.570589,45.580864,Hampton Inn Portland-Airport,"8633 NE Airport Way
Portland, OR 97220
1-503-288-2423",,,"{name:""",Hampton Inn Portland-Airport,""", lat:",45.580864,",",lon:,-122.570589,"},","{name:""Hampton Inn Portland-Airport"", lat:45.580864,lon:-122.570589},"
-122.190595,47.606939,Hilton Bellevue,"300 112th Avenue SE
Bellevue, WA 98004-6412
1-425-455-1300",,,"{name:""",Hilton Bellevue,""", lat:",47.606939,",",lon:,-122.190595,"},","{name:""Hilton Bellevue"", lat:47.606939,lon:-122.190595},"
